Title,Price,Rating,ReviewCount,ASIN,Link,ImageURL
"Wild Republic Hug EMS Giraffe Plush Toy, 16241",15.,4.7,,B00T5V26YS,https://www.amazon.ca/Wild-Republic-Hug-Giraffe-Plush/dp/B00T5V26YS/ref=sr_1_15?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-15,https://m.media-amazon.com/images/I/71r6EoNPZoL._AC_UL320_.jpg
"Wild Republic Beaver Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins 8 Inches",15.,4.7,,B007JLUESG,https://www.amazon.ca/Wild-Republic-Beaver-Stuffed-Cuddlekins/dp/B007JLUESG/ref=sr_1_16?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-16,https://m.media-amazon.com/images/I/71lkHCpwHfL._AC_UL320_.jpg
"Wild Republic Black Bear Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins 8""",15.,4.7,,B00705X7JO,https://www.amazon.ca/Wild-Republic-Stuffed-Animal-Cuddlekins/dp/B00705X7JO/ref=sr_1_17?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-17,https://m.media-amazon.com/images/I/71b2EoW9TVL._AC_UL320_.jpg
"Bedwina Stuffed Animal Sharks - Pack of 2 Large, 14 inch Mako & 13 inch Hammerhead Plush Shark Toys, Stuff Animals Toy, for Baby Toddlers & Kids",20.,4.5,,B07JFPKPRF,https://www.amazon.ca/Bedwina-Stuffed-Animal-Sharks-Hammerhead/dp/B07JFPKPRF/ref=sr_1_18?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-18,https://m.media-amazon.com/images/I/61DypMeAIQL._AC_UL320_.jpg
"Wild Republic Great White Shark Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Sea Critters 11 inches",8.,4.6,,B07BY7DC2M,https://www.amazon.ca/Wild-Republic-Stuffed-Animal-Critters/dp/B07BY7DC2M/ref=sr_1_19?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-19,https://m.media-amazon.com/images/I/71WAPXt+tqL._AC_UL320_.jpg
"Wild Republic Fennec Fox Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins 5 inches, 21174",8.,4.6,,B074YLLH7P,https://www.amazon.ca/Wild-Republic-Fennec-Stuffed-Cuddlekins/dp/B074YLLH7P/ref=sr_1_20?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-20,https://m.media-amazon.com/images/I/61w65wBG2yL._AC_UL320_.jpg
"TAMMYFLYFLY Sleep Polar Bear Plush,Cute Stuffed Animal, Plush Toy, 14 Inches Soft Toy (Medium)",25.,4.5,,B0B2145745,https://www.amazon.ca/TAMMYFLYFLY-Sleep-Stuffed-Animal-Inches/dp/B0B2145745/ref=sr_1_25?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-25,https://m.media-amazon.com/images/I/51kK9hEODKL._AC_UL320_.jpg
"Baby GUND My First GUND Teddy Bear, Ultra Soft Animal Plush Toy for Babies and Newborns, Tan, 10”",19.,4.6,,B00IX6A0XA,https://www.amazon.ca/Gund-First-Animal-Babies-Newborns/dp/B00IX6A0XA/ref=sr_1_26?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-26,https://m.media-amazon.com/images/I/81RdS-1g+TL._AC_UL320_.jpg
"Potato Stuffed Animal Cute Plush Toys, 5 Pcs Mood Support Potato Plush and Plushies with Carry Basket, Funny Squeeze Toys Home Desk Decor Cheer up Doll Gift for Kids Adults Friends Her Sister",25.,4.4,,B0FGCMBC9D,https://www.amazon.ca/GERBIT-Stuffed-Support-Plushies-Squeeze/dp/B0FGCMBC9D/ref=sr_1_27?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-27,https://m.media-amazon.com/images/I/71d4-lmZYsL._AC_UL320_.jpg
"Mary Meyer - Putty Nursery Stuffed Plush Animal Toy - Soft, Huggable Plushie for Babies, Toddlers, & Kids - Bunny - Tan 11""",29.,4.7,,B01M35TJOT,https://www.amazon.ca/Mary-Meyer-Putty-Bunny-Soft/dp/B01M35TJOT/ref=sr_1_28?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-28,https://m.media-amazon.com/images/I/91ndkOIqWbL._AC_UL320_.jpg
"5lbs Highland Cow Weighted Stuffed Animals, 24in Giant Highland Cow Gift Plush Toy,Adorable Stuffed Animal for Kids and Adults Highland Cattle Plushie Pillow Decor",65.,4.7,,B0DWMPTY31,https://www.amazon.ca/Highland-Weighted-Stuffed-Animals-Adorable/dp/B0DWMPTY31/ref=sr_1_29?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-29,https://m.media-amazon.com/images/I/81tAxh1RMvL._AC_UL320_.jpg
"Stuffed Animals,Cute Seal Plush Pillows,15.7 inch Soft Plush Toys Stocking Stuffers for Kids Boys Girls Women,Essential Items for Returning to Dorms,Birthday for Kids",33.,4.4,,B08D9DPBZC,https://www.amazon.ca/Stocking-Stuffers-Essential-Returning-Birthday/dp/B08D9DPBZC/ref=sr_1_30?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-30,https://m.media-amazon.com/images/I/61rDkw0eCTS._AC_UL320_.jpg
"GUND Designer Pups Collection Nayla Cockapoo Puppy, Stuffed Animal Dog, Plush Toy for Ages 1 and Up, 10.5”",,4.3,,B004MFVL34,https://www.amazon.ca/GUND-Designer-Collection-Cockapoo-Stuffed/dp/B004MFVL34/ref=sr_1_31?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-31,https://m.media-amazon.com/images/I/81FgkCk6TuL._AC_UL320_.jpg
"Baby GUND, Lil’ Luvs Collection Reese Sloth Plush Stuffed Animal, Gray and Brown, 12”",16.,4.7,,B07C8723BG,https://www.amazon.ca/Gund-Toothpick-Stuffed-Animal-Sloth/dp/B07C8723BG/ref=sr_1_32?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-32,https://m.media-amazon.com/images/I/71snmkSxiOL._AC_UL320_.jpg
